C1:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
D1:1
G***:1
IC1:1
IC2:1
IC3:1
J1:1
J2:1
LOG_KICAD:1
LOG_OPENHARDWARE:1
LS1:1
MH1:1
MH2:1
MH_S1:1
MH_S2:1
MH_S3:1
MH_S4:1
Q1:1
R1:1
R2:1
R3:1
R4:1
RV1:1
U1:1
U2:1
